org_uuid,industry,founded_year,score,raw_output
df662812-7f97-0b43-9d3e-12f64f504fbb,Media Entertainment and Gaming,2004,5.0,Answer: 5
df662812-7f97-0b43-9d3e-12f64f504fbb,Technology,2004,5.0,Answer: 5
622e63a9-147d-c538-57e9-03e9afb884e6,Media Entertainment and Gaming,2007,4.0,Answer: 4
e4d10a5e-9ec1-88b6-9acf-d8585c89bcb3,Technology,2004,5.0,Answer: 5
dfdae7fa-22ce-d20a-8540-5135abd32165,Life Sciences,2004,4.0,Answer: 4
61fe112e-e4fc-0fa2-dc41-b3e25d0441db,Fintech,2004,3.0,Answer: 3
61fe112e-e4fc-0fa2-dc41-b3e25d0441db,Technology,2004,5.0,Answer: 5
022bddcc-e01a-a6de-91e9-b93cfcc5a9ee,Technology,2005,5.0,Answer: 5
305d8533-a3d6-5508-8a30-5d4d864d0463,Technology,2006,4.0,Answer: 4
e8e739f7-8a1b-3d80-3e0e-eff40b188d97,Technology,2007,4.0,Answer: 4
e84e93ea-a32f-cc22-e3d8-a44fe89764f8,Consumer Goods,2004,4.0,Answer: 4
e84e93ea-a32f-cc22-e3d8-a44fe89764f8,Media Entertainment and Gaming,2004,4.0,Answer: 4
2c022ee7-ed83-b713-bb21-e16e49d5b622,Technology,2007,4.0,Answer: 4
ee431f56-4142-fef4-38fd-a7d5211023da,Technology,2006,4.0,Answer: 4
a94a240a-9929-424b-7aeb-74e3b8d3b2dd,Media Entertainment and Gaming,2004,4.0,Answer: 4
9d065cf7-f619-0f42-4b98-b4733c0fa26d,Technology,2004,5.0,Answer: 5
8adae63e-fac9-89fc-fcdf-3f161498ddd0,Consumer Goods,2007,4.0,Answer: 4
8adae63e-fac9-89fc-fcdf-3f161498ddd0,Technology,2007,5.0,Answer: 5
e6449ca5-2268-5cf7-96ca-b808a234da00,Technology,2007,5.0,Answer: 5
a9c0d789-322f-73a1-c5fe-893a6bd378fc,Fintech,2006,3.0,Answer: 3
a9c0d789-322f-73a1-c5fe-893a6bd378fc,Media Entertainment and Gaming,2006,4.0,Answer: 4
cc0941c9-04e3-6bde-9d49-e7b587b79589,Fintech,2005,4.0,Answer: 4
be871c33-ab8f-b64b-8f34-d7753e9b67e8,Media Entertainment and Gaming,2005,5.0,Answer: 5
be871c33-ab8f-b64b-8f34-d7753e9b67e8,Technology,2005,4.0,Answer: 4
