org_uuid,org_name,score,raw_output
df662812-7f97-0b43-9d3e-12f64f504fbb,Meta,5.0,Answer: 5
622e63a9-147d-c538-57e9-03e9afb884e6,Funny Or Die,4.0,Answer: 4
e4d10a5e-9ec1-88b6-9acf-d8585c89bcb3,Yelp,5.0,Answer: 5
dfdae7fa-22ce-d20a-8540-5135abd32165,Squid Labs,3.0,Answer: 3
61fe112e-e4fc-0fa2-dc41-b3e25d0441db,Seeking Alpha,3.0,3
022bddcc-e01a-a6de-91e9-b93cfcc5a9ee,Box,5.0,Answer: 5
305d8533-a3d6-5508-8a30-5d4d864d0463,Phonezoo Communications,3.0,"Answer:
3"
e8e739f7-8a1b-3d80-3e0e-eff40b188d97,Nononina,2.0,Answer: 2
e84e93ea-a32f-cc22-e3d8-a44fe89764f8,Fandom,3.0,3
2c022ee7-ed83-b713-bb21-e16e49d5b622,Nirvanix,3.0,Answer: 3
ee431f56-4142-fef4-38fd-a7d5211023da,Lotame,3.0,"Answer:
3"
a94a240a-9929-424b-7aeb-74e3b8d3b2dd,Revver,4.0,[Answer: 4]
9d065cf7-f619-0f42-4b98-b4733c0fa26d,MindTouch,2.0,Answer: 2
8adae63e-fac9-89fc-fcdf-3f161498ddd0,Weebly,4.0,Answer: 4
e6449ca5-2268-5cf7-96ca-b808a234da00,Dropbox,5.0,Answer: 5
a9c0d789-322f-73a1-c5fe-893a6bd378fc,"Localcents, Inc. (Villij.com)",4.0,Answer: 4
cc0941c9-04e3-6bde-9d49-e7b587b79589,Kiva,5.0,Answer: 5
be871c33-ab8f-b64b-8f34-d7753e9b67e8,MocoSpace,3.0,"Answer:
3"
21bacb27-609e-15ea-e220-58903e9fbe13,Rooftop Media,2.0,2
05155100-b73a-4b19-60e3-8b3250307395,WeFi,5.0,Answer: 5
c5fef562-18c3-ae85-01bb-5bd9150efe69,OurStory,4.0,Answer: 4
e7e62164-a0b3-e613-b0df-5a8c4ed821f9,Ripl,4.0,Answer: 4
24d3bda6-48ff-a9ad-7737-9e090d686786,Zocdoc,5.0,Answer: 5
f87be3ec-ed9a-1203-e8c7-b021c30a6f36,Healthcare.com,5.0,Answer: 5
2d98c4d0-adab-6261-c07e-c92f04b0e4b2,Zello,3.0,3
b4ecd541-cd83-75fc-a2aa-8ef4b150d91e,GroupSwim,3.0,Answer: 3
b3a1bd4c-3105-135b-c51c-b209ce49be1d,Ponoko,2.0,Answer: 2
7dd26818-843a-d792-1675-b7dae4d2da2d,Kaltura,4.0,Answer: 4
cf7b70bf-d4a9-ba2d-3971-b36ddf7d5334,Tripwiser,4.0,Answer: 4
55a90d41-b49b-a697-4f97-4a6531cfe3d1,Sertifi,3.0,Answer: 3
00e435dd-f616-27b3-9128-58fb909d04b4,Zillow,5.0,Answer: 5
5e06c72b-83b9-529c-4786-fcd50d796294,RayV,4.0,Answer: 4
37eb376b-c8c9-9b70-1d1d-21a336f4ec58,Polyvore,3.0,Answer: 3
f93d65c7-11da-f085-0bdd-d54510f77a41,23andMe,3.0,3
bbc4867e-2cd9-ba2e-6443-b3a28b6cce75,YuMe,3.0,3
