industry,year,summary_vader_neg,summary_vader_neu,summary_vader_pos,summary_vader_compound,summary_textblob_polarity,summary_textblob_subjectivity,summary_finbert_negative,summary_finbert_neutral,summary_finbert_positive,trends_vader_neg,trends_vader_neu,trends_vader_pos,trends_vader_compound,trends_textblob_polarity,trends_textblob_subjectivity,infrastructure_vader_neg,infrastructure_vader_neu,infrastructure_vader_pos,infrastructure_vader_compound,infrastructure_textblob_polarity,infrastructure_textblob_subjectivity,outlook_vader_neg,outlook_vader_neu,outlook_vader_pos,outlook_vader_compound,outlook_textblob_polarity,outlook_textblob_subjectivity,outlook_finbert_negative,outlook_finbert_neutral,outlook_finbert_positive,timing_signal_vader_neg,timing_signal_vader_neu,timing_signal_vader_pos,timing_signal_vader_compound,timing_signal_textblob_polarity,timing_signal_textblob_subjectivity,timing_signal_finbert_negative,timing_signal_finbert_neutral,timing_signal_finbert_positive
Cleantech,2004,0.0,0.77,0.23,0.8922,0.0375,0.25,0.7535837292671204,0.010431557893753052,0.2359846979379654,0.0,0.696,0.304,0.9451,0.095,0.72,0.0,0.654,0.346,0.9565,0.25,0.3,0.032,0.756,0.212,0.9118,0.16964285714285715,0.55,0.7971235513687134,0.019092364236712456,0.1837841123342514,0.0,0.894,0.106,0.7227,0.09947916666666666,0.35208333333333336,0.911505401134491,0.012256588786840439,0.07623793184757233
Cleantech,2005,0.0,0.9,0.1,0.743,0.1880952380952381,0.4892857142857143,0.8624100089073181,0.014181967824697495,0.12340797483921051,0.0,0.73,0.27,0.946,0.10277777777777779,0.3361111111111111,0.017,0.642,0.342,0.9806,0.14567099567099567,0.5006493506493507,0.0,0.811,0.189,0.9168,0.14552083333333335,0.52375,0.8764194250106812,0.010105699300765991,0.11347489804029465,0.013,0.681,0.306,0.9899,0.2777777777777778,0.5814814814814815,0.9250856041908264,0.011502745561301708,0.06341168284416199
Cleantech,2006,0.0,0.732,0.268,0.926,0.3229166666666667,0.6069444444444444,0.9342163801193237,0.021307168528437614,0.044476501643657684,0.048,0.646,0.307,0.9601,-0.03928571428571428,0.5702380952380952,0.022,0.631,0.347,0.9623,0.17777777777777778,0.3444444444444445,0.0,0.76,0.24,0.9577,0.10152777777777779,0.4283333333333333,0.9021137952804565,0.011285314336419106,0.08660100400447845,0.0,0.788,0.212,0.9831,0.20331439393939393,0.5820549242424243,0.9473713040351868,0.013333117589354515,0.039295583963394165
Cleantech,2007,0.0,0.753,0.247,0.802,0.29375,0.5541666666666667,0.9465550780296326,0.016925305128097534,0.036519572138786316,0.0,0.749,0.251,0.9648,0.12380952380952381,0.3238095238095239,0.0,0.617,0.383,0.9859,0.24948051948051944,0.4777922077922078,0.0,0.767,0.233,0.9571,0.154375,0.514375,0.9465751051902771,0.018392028287053108,0.035032883286476135,0.013,0.685,0.302,0.9857,0.26724747474747473,0.6075,0.9277831315994263,0.010582002811133862,0.06163477897644043
Cleantech,2008,0.0,0.819,0.181,0.7506,0.375,0.875,0.9395284652709961,0.015019341371953487,0.04545210674405098,0.0,0.841,0.159,0.8689,0.0,0.3666666666666667,0.0,0.607,0.393,0.9666,0.0,0.06666666666666667,0.0,0.839,0.161,0.902,0.0735,0.42400000000000004,0.9025947451591492,0.011995065025985241,0.0854102224111557,0.048,0.639,0.313,0.9867,0.27499999999999997,0.5625,0.9302114844322205,0.011149408295750618,0.058639150112867355
Cleantech,2009,0.05,0.726,0.225,0.7845,0.26944444444444443,0.5083333333333334,0.023163780570030212,0.9557963609695435,0.021039946004748344,0.025,0.569,0.406,0.9628,0.20918367346938777,0.49897959183673474,0.0,0.646,0.354,0.9666,0.17904040404040403,0.4227272727272728,0.0,0.814,0.186,0.9001,0.1625,0.5750000000000001,0.01719471625983715,0.9536409378051758,0.02916429378092289,0.014,0.641,0.345,0.9914,0.213771645021645,0.5351190476190476,0.9240715503692627,0.01774326153099537,0.0581851489841938
Cleantech,2010,0.0,0.861,0.139,0.7506,0.23500000000000001,0.44333333333333336,0.901931643486023,0.009096897207200527,0.08897141367197037,0.0,0.749,0.251,0.9661,0.09267857142857144,0.3995238095238095,0.016,0.581,0.403,0.9847,0.2888888888888889,0.4833333333333334,0.059,0.754,0.186,0.8957,0.06530303030303031,0.5954545454545455,0.6017917990684509,0.27587515115737915,0.1223331168293953,0.0,0.749,0.251,0.9794,0.1738095238095238,0.473538961038961,0.9313402771949768,0.011863505467772484,0.05679622292518616
Cleantech,2011,0.039,0.782,0.179,0.7351,0.125,0.5583333333333333,0.05525391548871994,0.9094132781028748,0.03533283993601799,0.0,0.73,0.27,0.9538,0.28809523809523807,0.6119047619047618,0.017,0.702,0.28,0.9631,0.16,0.30333333333333334,0.057,0.804,0.139,0.5719,0.2,0.65,0.16980977356433868,0.743217945098877,0.08697222173213959,0.0,0.848,0.152,0.9201,0.195,0.67,0.8135491013526917,0.03509090095758438,0.1513599455356598
Cleantech,2012,0.027,0.712,0.261,0.9153,0.18472222222222223,0.3791666666666667,0.0069670723751187325,0.9751672148704529,0.017865726724267006,0.0,0.748,0.252,0.9509,0.14732142857142858,0.32589285714285715,0.022,0.713,0.264,0.936,0.05288600288600289,0.4995670995670996,0.041,0.696,0.263,0.9442,0.27499999999999997,0.5856060606060606,0.04752158001065254,0.896416962146759,0.05606141686439514,0.051,0.735,0.214,0.8693,0.21530303030303027,0.5387878787878788,0.013477123342454433,0.9590387940406799,0.027484042569994926
Cleantech,2013,0.046,0.895,0.06,-0.0516,0.2916666666666667,0.6416666666666667,0.013791841454803944,0.9654572606086731,0.02075083740055561,0.0,0.627,0.373,0.9826,0.3163690476190476,0.5241071428571429,0.024,0.793,0.183,0.8316,0.03333333333333333,0.19999999999999998,0.049,0.804,0.147,0.8854,0.23333333333333334,0.5270833333333333,0.9041292667388916,0.02560059353709221,0.07027016580104828,0.018,0.655,0.327,0.9919,0.19933035714285716,0.5229910714285715,0.24949608743190765,0.6621618270874023,0.0883421003818512
