Episode,Investments,Investment Rate,Capital Invested,Total Return,MOIC,ROI,Approx IRR,Reward Score (non-financial),ipo,acquisition,closed,still_active,too_young
1,20,0.5714285714285714,20000000,64000000.0,3.2,2.2,0.337480609952844,76,0,8,1,11,0
2,20,0.46511627906976744,20000000,24000000.0,1.2,0.2,0.04663513939210562,-4,0,3,2,13,2
3,20,0.47619047619047616,20000000,44000000.0,2.2,1.2,0.21788328563090675,66,2,3,0,13,2
4,20,0.37037037037037035,20000000,64000000.0,3.2,2.2,0.337480609952844,76,0,8,1,11,0
5,20,0.45454545454545453,20000000,32000000.0,1.6,0.6,0.12468265038069815,8,0,4,2,13,1
6,20,0.5,20000000,60000000.0,3.0,2.0,0.3160740129524924,90,2,5,0,13,0
7,20,0.5263157894736842,20000000,58000000.0,2.9,1.9,0.3049669101523762,87,1,6,0,13,0
8,20,0.43478260869565216,20000000,42000000.0,2.1,1.1,0.20380134350271595,43,1,4,1,13,1
9,20,0.5263157894736842,20000000,56000000.0,2.8,1.8,0.29356872761680153,84,0,7,0,10,3
10,20,0.5263157894736842,20000000,50000000.0,2.5,1.5,0.2574334296829355,35,1,5,2,10,2
11,20,0.37735849056603776,20000000,64000000.0,3.2,2.2,0.337480609952844,16,0,8,4,8,0
12,20,0.5263157894736842,20000000,56000000.0,2.8,1.8,0.29356872761680153,64,0,7,1,10,2
13,20,0.5263157894736842,20000000,52000000.0,2.6,1.6,0.26982343247386553,78,2,4,0,11,3
14,20,0.425531914893617,20000000,70000000.0,3.5,2.5,0.36778239986738037,85,3,5,1,9,2
15,20,0.47619047619047616,20000000,66000000.0,3.3,2.3,0.34780941251294695,79,1,7,1,10,1
16,20,0.5128205128205128,20000000,34000000.0,1.7,0.7,0.14185834543542652,51,1,3,0,15,1
17,20,0.5,20000000,56000000.0,2.8,1.8,0.29356872761680153,44,0,7,2,11,0
18,20,0.5405405405405406,20000000,32000000.0,1.6,0.6,0.12468265038069815,8,0,4,2,12,2
19,20,0.3389830508474576,20000000,68000000.0,3.4,2.4,0.3579060687170441,82,2,6,1,10,1
20,20,0.5555555555555556,20000000,84000000.0,4.2,3.2,0.43156912274326453,106,2,8,1,9,0
21,20,0.4878048780487805,20000000,48000000.0,2.4,1.4,0.24466595457695672,72,0,6,0,13,1
22,20,0.5555555555555556,20000000,52000000.0,2.6,1.6,0.26982343247386553,58,2,4,1,12,1
23,20,0.425531914893617,20000000,64000000.0,3.2,2.2,0.337480609952844,56,0,8,2,9,1
24,20,0.4166666666666667,20000000,74000000.0,3.7,2.7,0.38691687067651404,91,1,8,1,9,1
25,20,0.4444444444444444,20000000,42000000.0,2.1,1.1,0.20380134350271595,23,1,4,2,10,3
26,20,0.4444444444444444,20000000,52000000.0,2.6,1.6,0.26982343247386553,38,2,4,2,12,0
27,20,0.5263157894736842,20000000,26000000.0,1.3,0.3,0.06778997237244089,19,1,2,1,14,2
28,20,0.625,20000000,84000000.0,4.2,3.2,0.43156912274326453,106,2,8,1,8,1
29,20,0.5128205128205128,20000000,74000000.0,3.7,2.7,0.38691687067651404,51,1,8,3,6,2
30,20,0.46511627906976744,20000000,86000000.0,4.3,3.3,0.44001532468677995,109,3,7,1,8,1
31,20,0.38461538461538464,20000000,34000000.0,1.7,0.7,0.14185834543542652,-9,1,3,3,12,1
32,20,0.46511627906976744,20000000,40000000.0,2.0,1.0,0.18920711500272103,0,0,5,3,11,1
33,20,0.6060606060606061,20000000,62000000.0,3.1,2.1,0.3269068114098672,73,3,4,1,11,1
34,20,0.5555555555555556,20000000,32000000.0,1.6,0.6,0.12468265038069815,28,0,4,1,14,1
35,20,0.4444444444444444,20000000,56000000.0,2.8,1.8,0.29356872761680153,84,0,7,0,11,2
36,20,0.37735849056603776,20000000,76000000.0,3.8,2.8,0.3961944237683348,94,2,7,1,10,0
37,20,0.425531914893617,20000000,44000000.0,2.2,1.2,0.21788328563090675,66,2,3,0,15,0
38,20,0.39215686274509803,20000000,26000000.0,1.3,0.3,0.06778997237244089,39,1,2,0,16,1
39,20,0.4444444444444444,20000000,40000000.0,2.0,1.0,0.18920711500272103,40,0,5,1,12,2
40,20,0.6060606060606061,20000000,24000000.0,1.2,0.2,0.04663513939210562,-4,0,3,2,14,1
41,20,0.46511627906976744,20000000,50000000.0,2.5,1.5,0.2574334296829355,55,1,5,1,13,0
42,20,0.39215686274509803,20000000,56000000.0,2.8,1.8,0.29356872761680153,24,0,7,3,7,3
43,20,0.45454545454545453,20000000,32000000.0,1.6,0.6,0.12468265038069815,-12,0,4,3,10,3
44,20,0.43478260869565216,20000000,72000000.0,3.6,2.6,0.3774493079968597,68,0,9,2,9,0
45,20,0.5405405405405406,20000000,72000000.0,3.6,2.6,0.3774493079968597,88,0,9,1,10,0
46,20,0.45454545454545453,20000000,78000000.0,3.9,2.9,0.40529063393062925,117,3,6,0,10,1
47,20,0.5714285714285714,20000000,52000000.0,2.6,1.6,0.26982343247386553,58,2,4,1,11,2
48,20,0.37037037037037035,20000000,40000000.0,2.0,1.0,0.18920711500272103,-40,0,5,5,10,0
49,20,0.5714285714285714,20000000,76000000.0,3.8,2.8,0.3961944237683348,94,2,7,1,7,3
50,20,0.5882352941176471,20000000,68000000.0,3.4,2.4,0.3579060687170441,82,2,6,1,10,1
