Episode,Investments,Investment Rate,Capital Invested,Total Return,MOIC,ROI,Approx IRR,Reward Score (non-financial),ipo,acquisition,closed,still_active,too_young
1,20,0.08333333333333333,20000000,60000000.0,3.0,2.0,0.3160740129524924,30,2,5,3,6,4
2,20,0.145985401459854,20000000,74000000.0,3.7,2.7,0.38691687067651404,111,1,8,0,10,1
3,20,0.09345794392523364,20000000,40000000.0,2.0,1.0,0.18920711500272103,40,0,5,1,10,4
4,20,0.08928571428571429,20000000,80000000.0,4.0,3.0,0.41421356237309515,100,0,10,1,8,1
5,20,0.11494252873563218,20000000,40000000.0,2.0,1.0,0.18920711500272103,20,0,5,2,10,3
6,20,0.08658008658008658,20000000,24000000.0,1.2,0.2,0.04663513939210562,36,0,3,0,15,2
7,20,0.11904761904761904,20000000,60000000.0,3.0,2.0,0.3160740129524924,90,2,5,0,10,3
8,20,0.05730659025787966,20000000,50000000.0,2.5,1.5,0.2574334296829355,55,1,5,1,10,3
9,20,0.10989010989010989,20000000,34000000.0,1.7,0.7,0.14185834543542652,31,1,3,1,13,2
10,20,0.04081632653061224,20000000,86000000.0,4.3,3.3,0.44001532468677995,109,3,7,1,4,5
11,20,0.09389671361502347,20000000,48000000.0,2.4,1.4,0.24466595457695672,52,0,6,1,10,3
12,20,0.072992700729927,20000000,40000000.0,2.0,1.0,0.18920711500272103,20,0,5,2,11,2
13,20,0.15748031496062992,20000000,32000000.0,1.6,0.6,0.12468265038069815,48,0,4,0,13,3
14,20,0.05934718100890208,20000000,34000000.0,1.7,0.7,0.14185834543542652,11,1,3,2,9,5
15,20,0.0970873786407767,20000000,60000000.0,3.0,2.0,0.3160740129524924,50,2,5,2,8,3
16,20,0.16393442622950818,20000000,68000000.0,3.4,2.4,0.3579060687170441,102,2,6,0,9,3
17,20,0.13071895424836602,20000000,42000000.0,2.1,1.1,0.20380134350271595,23,1,4,2,13,0
18,20,0.10204081632653061,20000000,50000000.0,2.5,1.5,0.2574334296829355,75,1,5,0,10,4
19,20,0.06896551724137931,20000000,26000000.0,1.3,0.3,0.06778997237244089,-1,1,2,2,12,3
20,20,0.09389671361502347,20000000,42000000.0,2.1,1.1,0.20380134350271595,43,1,4,1,12,2
21,20,0.08849557522123894,20000000,36000000.0,1.8,0.8,0.15829218528826905,34,2,2,1,11,4
22,20,0.12658227848101267,20000000,42000000.0,2.1,1.1,0.20380134350271595,23,1,4,2,10,3
23,20,0.17094017094017094,20000000,34000000.0,1.7,0.7,0.14185834543542652,11,1,3,2,11,3
24,20,0.1092896174863388,20000000,34000000.0,1.7,0.7,0.14185834543542652,11,1,3,2,11,3
25,20,0.136986301369863,20000000,66000000.0,3.3,2.3,0.34780941251294695,79,1,7,1,9,2
26,20,0.10869565217391304,20000000,42000000.0,2.1,1.1,0.20380134350271595,63,1,4,0,11,4
27,20,0.0823045267489712,20000000,36000000.0,1.8,0.8,0.15829218528826905,54,2,2,0,13,3
28,20,0.13513513513513514,20000000,36000000.0,1.8,0.8,0.15829218528826905,34,2,2,1,13,2
29,20,0.12578616352201258,20000000,68000000.0,3.4,2.4,0.3579060687170441,82,2,6,1,8,3
30,20,0.08928571428571429,20000000,58000000.0,2.9,1.9,0.3049669101523762,67,1,6,1,9,3
31,20,0.06802721088435375,20000000,58000000.0,2.9,1.9,0.3049669101523762,67,1,6,1,10,2
32,20,0.09900990099009901,20000000,34000000.0,1.7,0.7,0.14185834543542652,31,1,3,1,11,4
33,20,0.12121212121212122,20000000,10000000.0,0.5,-0.5,-0.1591035847462855,-5,1,0,1,15,3
34,20,0.17543859649122806,20000000,42000000.0,2.1,1.1,0.20380134350271595,43,1,4,1,11,3
35,20,0.11235955056179775,20000000,34000000.0,1.7,0.7,0.14185834543542652,51,1,3,0,13,3
36,20,0.07168458781362007,20000000,32000000.0,1.6,0.6,0.12468265038069815,8,0,4,2,12,2
37,20,0.06666666666666667,20000000,42000000.0,2.1,1.1,0.20380134350271595,23,1,4,2,11,2
38,20,0.12345679012345678,20000000,66000000.0,3.3,2.3,0.34780941251294695,99,1,7,0,8,4
39,20,0.06535947712418301,20000000,58000000.0,2.9,1.9,0.3049669101523762,27,1,6,3,8,2
40,20,0.16129032258064516,20000000,82000000.0,4.1,3.1,0.4229707211083644,123,1,9,0,9,1
41,20,0.07142857142857142,20000000,34000000.0,1.7,0.7,0.14185834543542652,11,1,3,2,13,1
42,20,0.1111111111111111,20000000,48000000.0,2.4,1.4,0.24466595457695672,72,0,6,0,11,3
43,20,0.11049723756906077,20000000,44000000.0,2.2,1.2,0.21788328563090675,46,2,3,1,13,1
44,20,0.10362694300518134,20000000,40000000.0,2.0,1.0,0.18920711500272103,60,0,5,0,12,3
45,20,0.13333333333333333,20000000,32000000.0,1.6,0.6,0.12468265038069815,28,0,4,1,10,5
46,20,0.10362694300518134,20000000,52000000.0,2.6,1.6,0.26982343247386553,-2,2,4,4,7,3
47,20,0.07326007326007326,20000000,42000000.0,2.1,1.1,0.20380134350271595,63,1,4,0,13,2
48,20,0.11173184357541899,20000000,40000000.0,2.0,1.0,0.18920711500272103,40,0,5,1,11,3
49,20,0.25,20000000,24000000.0,1.2,0.2,0.04663513939210562,16,0,3,1,13,3
50,20,0.10638297872340426,20000000,32000000.0,1.6,0.6,0.12468265038069815,48,0,4,0,12,4
